channel,spend,median,lo,hi,current_spend
Media channel 1,0.0,0.0,0.0,0.0,0.3090815783028675
Media channel 1,0.037374679839815836,39.44909752935513,9.093478210224065,143.22650673819612,0.3090815783028675
Media channel 1,0.07474935967963167,143.94334863228926,52.99325939308038,350.90005533547946,0.3090815783028675
Media channel 1,0.11212403951944751,297.2733425792932,141.82779498343308,578.1990127118268,0.3090815783028675
Media channel 1,0.14949871935926334,479.62340121987774,273.94593223179294,801.9602513495113,0.3090815783028675
Media channel 1,0.1868733991990792,678.397679444568,444.9179533833272,1018.5211448223777,0.3090815783028675
Media channel 1,0.22424807903889502,875.186099821354,636.5847529730908,1216.9260111411616,0.3090815783028675
Media channel 1,0.26162275887871084,1065.7786463751183,832.2118941246176,1401.2234809744564,0.3090815783028675
Media channel 1,0.2989974387185267,1245.6772271044392,1021.1451711557552,1568.625742174155,0.3090815783028675
Media channel 1,0.33637211855834254,1410.4578156255684,1194.1364998949193,1721.5872010019923,0.3090815783028675
Media channel 1,0.3737467983981584,1555.7324296130191,1348.0684871357796,1858.3873299775712,0.3090815783028675
Media channel 1,0.4111214782379742,1685.0710363629753,1481.3530968645239,1982.1075953245434,0.3090815783028675
Media channel 1,0.44849615807779003,1797.019100739461,1596.0499362139476,2097.249340868922,0.3090815783028675
Media channel 1,0.4858708379176059,1898.607584225783,1691.6315771719708,2201.627233878577,0.3090815783028675
Media channel 1,0.5232455177574217,1987.9271488153277,1773.1673919839195,2294.0005319439624,0.3090815783028675
Media channel 1,0.5606201975972376,2065.19436994044,1844.2750681872667,2376.8257703894133,0.3090815783028675
Media channel 1,0.5979948774370534,2132.615030490671,1905.735516960808,2450.936287963601,0.3090815783028675
Media channel 1,0.6353695572768692,2192.9546617636406,1957.7479616631053,2518.1785831779894,0.3090815783028675
Media channel 1,0.6727442371166851,2249.1783657031656,1999.2778625963056,2584.564427692486,0.3090815783028675
Media channel 1,0.7101189169565009,2298.5210165134317,2032.089221724512,2642.3942373127893,0.3090815783028675
Media channel 1,0.7474935967963168,2341.445521934554,2060.1376810873176,2696.1261826400373,0.3090815783028675
Media channel 1,0.7848682766361326,2378.1737730701043,2087.065992083107,2746.72703021219,0.3090815783028675
Media channel 1,0.8222429564759484,2411.773760554649,2107.775378113824,2796.5519223978604,0.3090815783028675
Media channel 1,0.8596176363157643,2441.6967640727235,2129.8922179282417,2838.3776195074024,0.3090815783028675
Media channel 1,0.8969923161555801,2471.1492936905834,2146.8167309167193,2875.0425657256574,0.3090815783028675
Media channel 1,0.9343669959953959,2494.7354892219446,2162.9885868203505,2908.454964699009,0.3090815783028675
Media channel 1,0.9717416758352118,2516.3948706365372,2175.8556877405795,2940.020783319276,0.3090815783028675
Media channel 1,1.0091163556750276,2537.418483059606,2187.39244409968,2971.909724257846,0.3090815783028675
Media channel 1,1.0464910355148433,2556.719885615272,2199.317791378554,3003.675392015982,0.3090815783028675
Media channel 1,1.0838657153546591,2573.3678801627366,2208.8485385165563,3031.266893947214,0.3090815783028675
Media channel 1,1.1212403951944752,2589.012956714795,2217.0953940859763,3058.2848076161836,0.3090815783028675
Media channel 1,1.158615075034291,2602.803397197425,2224.390460709551,3087.281540978194,0.3090815783028675
Media channel 1,1.1959897548741067,2617.255821292671,2231.07134209727,3108.777419928454,0.3090815783028675
Media channel 1,1.2333644347139225,2629.974529116541,2237.4026664806133,3130.5662278358523,0.3090815783028675
